aim_sigma_sum,condition,contact,count,fair,pitcher,plate_error,plate_speed,quality_sum,sequence,swings,timing_miss,trials,zone
16.8561481501498,fresh,30,"(0, 0)",28,3,2.43461383599788,1064.57433700562,14.1997276399826,repeat,52,0,72,72
16.8561481501498,fresh,38,"(0, 2)",34,3,2.43461383599788,1064.57433700562,16.2455802891695,repeat,68,0,72,72
16.8561481501498,fresh,22,"(3, 0)",20,3,2.43461383599788,1064.57433700562,9.7385609145368,repeat,34,0,72,72
17.3063190572337,fresh,32,"(0, 0)",26,3,2.39835105417296,1066.19053077698,12.9305799991948,mixed,48,0,72,72
17.3063190572337,fresh,38,"(0, 2)",32,3,2.39835105417296,1066.19053077698,15.2090516124824,mixed,68,0,72,72
17.3063190572337,fresh,20,"(3, 0)",16,3,2.39835105417296,1066.19053077698,7.42750181154762,mixed,30,0,72,72
17.661123814873,poor_release,26,"(0, 0)",20,3,15.8405993953347,1047.90065193176,9.45910141997911,repeat,44,0,72,58
17.661123814873,poor_release,32,"(0, 2)",26,3,15.8405993953347,1047.90065193176,12.770347746658,repeat,58,0,72,58
17.6611472771102,poor_release,18,"(3, 0)",14,3,15.8405993953347,1047.90065193176,5.91407483598382,repeat,28,0,72,58
18.1341426258356,poor_release,20,"(0, 0)",16,3,15.8112910799682,1051.29574394226,8.30917224223288,mixed,42,0,72,56
18.1340886513432,poor_release,24,"(0, 2)",20,3,15.8112910799682,1051.29574394226,10.3420101482484,mixed,56,0,72,56
18.1313788859502,poor_release,14,"(3, 0)",12,3,15.8112910799682,1051.29574394226,5.67951839380395,mixed,26,0,72,56
14.5627711335264,exhausted,36,"(0, 0)",30,3,24.6422332078218,842.096420288086,14.7474945967548,repeat,54,0,72,66
14.5627711335264,exhausted,42,"(0, 2)",36,3,24.6422332078218,842.096420288086,16.8278020703956,repeat,66,0,72,66
14.5627711335264,exhausted,26,"(3, 0)",26,3,24.6422332078218,842.096420288086,12.5277253787996,repeat,36,0,72,66
15.0028940940911,exhausted,34,"(0, 0)",24,3,26.0199741981924,841.242961883545,13.2686376977218,mixed,54,0,72,64
15.0078723206524,exhausted,44,"(0, 2)",34,3,26.0199741981924,841.242961883545,17.6915680076607,mixed,66,0,72,64
15.0028940940911,exhausted,20,"(3, 0)",18,3,26.0199741981924,841.242961883545,9.84228531434862,mixed,30,0,72,64
17.3375774190215,fresh,30,"(0, 0)",24,8,0.773686931934208,1166.83959960938,13.7437313626086,repeat,52,0,72,72
17.3375774190215,fresh,40,"(0, 2)",32,8,0.773686931934208,1166.83959960938,16.3356654242087,repeat,70,0,72,72
17.3375774190215,fresh,22,"(3, 0)",18,8,0.773686931934208,1166.83959960938,9.30077273660351,repeat,34,0,72,72
17.7943756775351,fresh,32,"(0, 0)",26,8,0.804170331568457,1168.18197059631,12.0974568399527,mixed,48,0,72,72
17.7943756775351,fresh,36,"(0, 2)",30,8,0.804170331568457,1168.18197059631,13.3407331461763,mixed,68,0,72,72
17.7943756775351,fresh,22,"(3, 0)",18,8,0.804170331568457,1168.18197059631,7.51973359140744,mixed,32,0,72,72
18.1320319243401,poor_release,22,"(0, 0)",16,8,16.4463047161698,1145.73689460754,8.74564501066736,repeat,44,0,72,58
18.1320319243401,poor_release,28,"(0, 2)",22,8,16.4463047161698,1145.73689460754,12.041467287652,repeat,58,0,72,58
18.1319935931663,poor_release,16,"(3, 0)",12,8,16.4463047161698,1145.73689460754,5.34672954589123,repeat,28,0,72,58
18.6455258253589,poor_release,20,"(0, 0)",14,8,16.3964327350259,1149.22756958008,7.89905320706515,mixed,42,0,72,56
18.6426984750379,poor_release,24,"(0, 2)",18,8,16.3964327350259,1149.22756958008,9.79657148581282,mixed,58,0,72,56
18.6427106742755,poor_release,14,"(3, 0)",10,8,16.3964327350259,1149.22756958008,5.24257984140769,mixed,26,0,72,56
15.5208360485559,exhausted,38,"(0, 0)",32,8,21.182424262166,930.857330322266,15.9114832116147,repeat,58,0,72,70
15.5208360485559,exhausted,44,"(0, 2)",38,8,21.182424262166,930.857330322266,18.0749260376077,repeat,68,0,72,70
15.5208360485559,exhausted,26,"(3, 0)",26,8,21.182424262166,930.857330322266,12.0498764658775,repeat,38,0,72,70
15.9082584314425,exhausted,38,"(0, 0)",26,8,22.2314617112279,928.936414718628,14.3444053274306,mixed,58,0,72,68
15.9082584314425,exhausted,48,"(0, 2)",34,8,22.2314617112279,928.936414718628,18.1202370704245,mixed,70,0,72,68
15.9082584314425,exhausted,24,"(3, 0)",20,8,22.2314617112279,928.936414718628,10.6267599379238,mixed,34,0,72,68
